source,target,full_text,normal_text,stemm_text,sentiment
@Irnawati_Siti_I,@satriohendri,@satriohendri Lhaaa… kita yg mendengar lebih kageett lagiii… Bukankah pak Prabowo sdh 5 tahun berada di pemerintahan sebelumnya…? dan kementerian yg dipimpinnya pun termasuk salah satu bagian yg korupsinya gila2an…,lhaaa kita yang mendengar lebih kageett lagi bukankah pak prabowo sudah tahun berada di pemerintahan sebelumnya dan kementerian yang dipimpinnya pun termasuk salah satu bagian yang korupsinya gilaan,lhaaa dengar kageett prabowo pemerintah menteri pimpin salah korupsi gila,negative
@mulyani_fhrz4,@POSITIFITI,@POSITIFITI Kebijakan prorakyat jadi bukti Prabowo-Gibran serius tingkatkan kesejahteraan dalam satu tahun ini #1thnPrabowoGibran,kebijakan prorakyat jadi bukti prabowo gibran serius tingkatkan kesejahteraan dalam satu tahun ini,bijak prorakyat bukti prabowo gibran serius tingkat sejahtera,positive
@nafasha_hanum,@POSITIFITI,"@POSITIFITI Prabowo-Gibran satu tahun, kehadiran mereka bawa angin segar perubahan #1thnPrabowoGibran",prabowo gibran satu tahun kehadiran mereka bawa angin segar perubahan,prabowo gibran hadir bawa angin segar ubah,positive
@novi_ahan56,@POSITIFITI,"@POSITIFITI Dampak positif terus mengalir dari pengabdian Prabowo-Gibran dalam satu tahun #1thnPrabowoGibranSetahun Prabowo-Gibran penuh aksi nyata, rakyat merasakan langsung hasilnya lewat kebijakan prorakyat #1thnPrabowoGibran",dampak positif terus mengalir dari pengabdian prabowo gibran dalam satu tahun prabowo gibran penuh aksi nyata rakyat merasakan langsung hasilnya lewat kebijakan prorakyat,dampak positif alir abdi prabowo gibran prabowo gibran penuh aksi nyata rakyat rasa langsung hasil bijak prorakyat,positive
@fahri_rmdhn32,@POSITIFITI,"@POSITIFITI Kerja nyata dalam satu tahun, Prabowo-Gibran hadirkan solusi buat kebutuhan rakyat #1thnPrabowoGibran",kerja nyata dalam satu tahun prabowo gibran hadirkan solusi buat kebutuhan rakyat,kerja nyata prabowo gibran hadir solusi butuh rakyat,positive
@fadeel_aulian,@are_inismyname,"@are_inismyname @prabowo udah utk motogp gini saja udah cukup, support saja olahraga yg lain.. lain dalam satu tahun hanya 1x dipakai motogp... OK TERMUL ?",sudah untuk motogp begini saja sudah cukup support saja olahraga yang lain lain dalam satu tahun hanya x dipakai motogp ok termul,motogp support olahraga x pakai motogp ok termul,negative
@galang_ov499,@HumasReceh,"@HumasReceh Udah satu tahun Prabowo-Gibran, APBN stabil, beras surplus, koperasi dan pendidikan makin dapet prioritas #1thnPrabowoGibran",sudah satu tahun prabowo gibran apbn stabil beras surplus koperasi dan pendidikan makin dapat prioritas,prabowo gibran apbn stabil beras surplus koperasi didik prioritas,positive
@arjuna_daffa72,@HumasReceh,"@HumasReceh Satu tahun pemerintahan Prabowo-Gibran, stabilitas politik terbukti jadi kunci utama gerak pembangunan nasional #1thnPrabowoGibran",satu tahun pemerintahan prabowo gibran stabilitas politik terbukti jadi kunci utama gerak pembangunan nasional,pemerintah prabowo gibran stabilitas politik bukti kunci utama gerak bangun nasional,positive
@DMieaceh80579,@MariaAlkaff_,"@MariaAlkaff_ Dan itu lah kenyataan yg di alami oleh Rakyat  konoha. Satu Tahun rezim Prabowo berkuasa, tidak ada tanda-tanda perbaikan yg memihak pada Rakyat. https://t.co/8Q6VQY3JwQ",dan itu lah kenyataan yang di alami oleh rakyat konoha satu tahun rezim prabowo berkuasa tidak ada tanda tanda perbaikan yang memihak pada rakyat,nyata alami rakyat konoha rezim prabowo kuasa tanda tanda baik rakyat,negative
@almi_riyanti,@HumasReceh,@HumasReceh Fokus utama Prabowo-Gibran satu tahun ini tetap di stabilitas politik demi kemakmuran dan keadilan berkelanjutan #1thnPrabowoGibran,fokus utama prabowo gibran satu tahun ini tetap di stabilitas politik demi kemakmuran dan keadilan berkelanjutan,fokus utama prabowo gibran stabilitas politik makmur adil lanjut,positive
@law_erfan,@kang___L,"@kang___L Ini yang menjadi nila setitik dalam kepemimpinan Prabowo seharusnya sejak memasuki usia pemerintahan satu tahun janganlah lagi Prabowo mendekat atau berkomunikasi intens dg Mulyono dan Termulnya, jaga jarak! biar kepercayaan rakyat 100% buat Prabowo 🫤🫥",ini yang menjadi nila setitik dalam kepemimpinan prabowo seharusnya sejak memasuki usia pemerintahan satu tahun janganlah lagi prabowo mendekat atau berkomunikasi intens dengan mulyono dan termulnya jaga jarak biar kepercayaan rakyat buat prabowo,nila titik pimpin prabowo pasuk usia pemerintah prabowo dekat komunikasi intens mulyono termulnya jaga jarak biar percaya rakyat prabowo,negative
@SofyanP20205835,@msaid_didu,"@msaid_didu @prabowo Saya sepakat om ku  Saya salah satu korban, dari kriminalisasi tambang di kab morowali 😭😭😭😭 Di laporkan ke polda sulteng,,  Dengan ancaman penjara 9 tahun  Pasal pemerasan dan pengancaman,  Luar biasanya tuduhan yang di laporkan tidak ada bukti🥰 kami sdh di rugikan 60 hari😭",saya sepakat om ku saya salah satu korban dari kriminalisasi tambang di kab morowali di laporkan ke polda sulteng dengan ancaman penjara tahun pasal pemerasan dan pengancaman luar biasanya tuduhan yang di laporkan tidak ada bukti kami sudah di rugikan hari,sepakat om ku salah korban kriminalisasi tambang kab morowali lapor polda sulteng ancam penjara pasal peras ancam tuduh lapor bukti rugi,negative
@dimad_wicaksono,@pagisendja,"@pagisendja Kerja nyata tanpa henti dari Kabinet Merah Putih, satu tahun penuh dedikasi sama Prabowo-Gibran #1thnPrabowoGibran",kerja nyata tanpa henti dari kabinet merah putih satu tahun penuh dedikasi sama prabowo gibran,kerja nyata henti kabinet merah putih penuh dedikasi prabowo gibran,positive
@diana_tanjung0,@pagisendja,"@pagisendja Satu tahun Prabowo-Gibran, Kabinet Merah Putih tetep solid fokus wujudkan janji buat kemajuan negeri #1thnPrabowoGibran",satu tahun prabowo gibran kabinet merah putih tetap solid fokus wujudkan janji buat kemajuan negeri,prabowo gibran kabinet merah putih solid fokus wujud janji maju negeri,positive
@Theroadinpursue,@AdamVelcro,"@AdamVelcro @prabowo G juga gara2 prabowo rusak Menurut saua busuk2nya 10 tahun pimpinan yg sebelumnya terkuak satu persatu setelah prabowo menjabat, awalnya saat jokowi pecah kongsi dari PDIP",enggak juga gara prabowo rusak menurut saua busuknya tahun pimpinan yang sebelumnya terkuak satu persatu setelah prabowo menjabat awalnya saat jokowi pecah kongsi dari pdip,gara prabowo rusak saua busuk pimpin kuak satu prabowo jabat jokowi pecah kongsi pdip,negative
@lucian_toro98,@pagisendja,@pagisendja Semangat persatuan di Kabinet Merah Putih bikin satu tahun Prabowo-Gibran penuh langkah nyata untuk rakyat #1thnPrabowoGibran,semangat persatuan di kabinet merah putih bikin satu tahun prabowo gibran penuh langkah nyata untuk rakyat,semangat satu kabinet merah putih bikin prabowo gibran penuh langkah nyata rakyat,positive
@danial_hartant,@ElvinaNara,"@ElvinaNara Satu tahun kepemimpinan Prabowo-Gibran, diplomasi Indonesia makin dihormati dan berdaya saing #1thnPrabowoGibran",satu tahun kepemimpinan prabowo gibran diplomasi indonesia makin dihormati dan berdaya saing,pimpin prabowo gibran diplomasi indonesia hormat daya saing,positive
@RepublikIni,@prabowo,"@prabowo Teruskan Pak, satu lagi, langsung buang penghianat negara tersebut ke Nusakambangan. Hukum 20 tahun.  Ilegal mining / apapun minimal 20 tahun, dgn minimal kerugian negara 3 milyard.",teruskan pak satu lagi langsung buang penghianat negara tersebut ke nusakambangan hukum tahun ilegal mining apapun minimal tahun dengan minimal kerugian negara milyard,terus langsung buang penghianat negara nusakambangan hukum ilegal mining apa minimal minimal rugi negara milyard,negative
@WAHYU_UNIFORM,@cakimiNOW,"@cakimiNOW @prabowo Pesantren dpt dananya kumpulin dikit2  Th ini diwujudkan dg tambah 1 ruang, tahun dpn satu ruang Dst  Dapet ... tempelkan  Pastinya kualitas konstruksi tak sestabil bangun sekaligus.",pesantren dapat dananya kumpulin dikit tahu ini diwujudkan dengan tambah ruang tahun depan satu ruang dst dapat tempelkan pastinya kualitas konstruksi tak sestabil bangun sekaligus,pesantren dana kumpulin dikit wujud ruang ruang dst tempel pasti kualitas konstruksi stabil bangun,positive
@Manuk_Emprit76,@msaid_didu,"@msaid_didu @prabowo Andaikan pak @prabowo menjabat hanya satu periode saja, kami rakyat berharap anda berpihak kepada rakyat. Jadikan 5 tahun ini momentum pengabdian pak @prabowo untuk NKRI bukan menjadi kepanjangan tangan para koruptor serta para pengkhianat bangsa. Semoga bukan harapan kosong ...",andaikan pak menjabat hanya satu periode saja kami rakyat berharap anda berpihak kepada rakyat jadikan tahun ini momentum pengabdian pak untuk nkri bukan menjadi kepanjangan tangan para koruptor serta para pengkhianat bangsa semoga bukan harapan kosong,andai jabat periode rakyat harap pihak rakyat jadi momentum abdi nkri panjang tangan koruptor khianat bangsa moga harap kosong,positive
@rzqyxz,@Adhit_1909,"@Adhit_1909 @Gyunesian @prabowo @jokowi Oh wajar fans die Hard ya prabski wkwkwkwkw, pulih cepat secara ekonomi kalo mau serius bisa sebenernya itu B. J Habibie menjabat g ada satu tahun bisa neken inflasi yg terjadi di era itu 🤣🤣🤣",oh wajar fan die hard ya prabski wkwkwkwkw pulih cepat secara ekonomi kalo mau serius bisa sebenarnya itu b saja habibie menjabat enggak ada satu tahun bisa neken inflasi yang terjadi di era itu,oh wajar fan die hard prabski wkwkwkwkw pulih cepat ekonomi kalo serius habibie jabat neken inflasi era,negative
@safira_nad123,@amanbangetkok,"@amanbangetkok Dengan fondasi yang kuat, satu tahun ini jadikan Indonesia lebih berdikari #1thnPrabowoGibranSetahun bareng Prabowo Gibran, kelihatan banget kemajuan soal pangan dan energi untuk hidup rakyat makin oke #1thnPrabowoGibran",dengan fondasi yang kuat satu tahun ini jadikan indonesia lebih berdikari bareng prabowo gibran kelihatan banget kemajuan soal pangan dan energi untuk hidup rakyat makin oke,fondasi kuat jadi indonesia berdikari bareng prabowo gibran banget maju pangan energi hidup rakyat oke,positive
@dagel_habibi,@amanbangetkok,@amanbangetkok Optimisme makin menular selama satu tahun kepemimpinan Prabowo Gibran #1thnPrabowoGibran,optimisme makin menular selama satu tahun kepemimpinan prabowo gibran,optimisme tular pimpin prabowo gibran,positive
@irma_zaepus,@amanbangetkok,"@amanbangetkok Satu tahun kepemimpinan yang penuh komitmen, Prabowo-Gibran terus jaga kepercayaan rakyat #1thnPrabowoGibran",satu tahun kepemimpinan yang penuh komitmen prabowo gibran terus jaga kepercayaan rakyat,pimpin penuh komitmen prabowo gibran jaga percaya rakyat,positive
@rizal_mukti4,@amanbangetkok,@amanbangetkok Bukti satu tahun Prabowo Gibran: petani &amp; masyarakat kecil makin didengar dan diperhatikan #1thnPrabowoGibran,bukti satu tahun prabowo gibran petani amp masyarakat kecil makin didengar dan diperhatikan,bukti prabowo gibran tani masyarakat dengar perhati,positive
@amarylis_heduu,@amanbangetkok,@amanbangetkok Semangat gotong royong makin hidup setelah satu tahun kepemimpinan Prabowo Gibran #1thnPrabowoGibran,semangat gotong royong makin hidup setelah satu tahun kepemimpinan prabowo gibran,semangat gotong royong hidup pimpin prabowo gibran,positive
@galang_ov499,@amanbangetkok,"@amanbangetkok Satu tahun bukan waktu sebentar, terbukti Prabowo-Gibran berikan fondasi kuat untuk masa depan #1thnPrabowoGibran",satu tahun bukan waktu sebentar terbukti prabowo gibran berikan fondasi kuat untuk masa depan,sebentar bukti prabowo gibran fondasi kuat,positive
@BPJSTKinfo,@RoyBowo,"@RoyBowo @menakertrans @DPR_RI @prabowo @gibran_tweet @DPDRI @Batamnewscom @detikcom @kompascom Hai Sahabat, mohon maaf perihal pelayanan proses klaim dana Jaminan Hari Tua (JHT). Terdapat aturan masa tunggu untuk klaim JHT setelah mengundurkan diri atau terkena PHK, yaitu satu bulan, berdasarkan Peraturan Menteri Ketenagakerjaan Nomor 19 Tahun 2015. Tks -Ana",hai sahabat mohon maaf perihal pelayanan proses klaim dana jaminan hari tua jht terdapat aturan masa tunggu untuk klaim jht setelah mengundurkan diri atau terkena phk yaitu satu bulan berdasarkan peraturan menteri ketenagakerjaan nomor tahun tks ana,hai sahabat mohon maaf perihal layan proses klaim dana jamin tua jht atur tunggu klaim jht undur kena phk dasar atur menteri ketenagakerjaan nomor tks ana,neutral
@kurniawan214465,@susno2g,"@susno2g Korupsi sudah melembaga, 90% pejabat melakukan korupsi, sebaiknya bertahap agar tidak kosong pemerintahan, satu tahun kembalian uang diampuni(seperti pemutihan pajak), lalu perampasan aset&amp;pembuktian terbalik, tahun ke 3 hukuman mati.Baru bisa jalan pemberantasan korupsi.@prabowo",korupsi sudah melembaga pejabat melakukan korupsi sebaiknya bertahap agar tidak kosong pemerintahan satu tahun kembalian uang diampuni seperti pemutihan pajak lalu perampasan aset amp pembuktian terbalik tahun ke hukuman mati baru bisa jalan pemberantasan korupsi,korupsi lembaga jabat korupsi tahap kosong pemerintah kembali uang ampun mutih pajak ampas aset bukti balik hukum mati jalan berantas korupsi,negative
@cimbulpamungkas,@amandasah__,@amandasah__ Gerakan Prabowo dalam menjelang satu tahun pemberantasan korupsi masih minum dengan kata katanya yang fenomenal SAYA TIDAK TAKUT PADA MALING MALING.,gerakan prabowo dalam menjelang satu tahun pemberantasan korupsi masih minum dengan kata katanya yang fenomenal saya tidak takut pada maling maling,gera prabowo jelang berantas korupsi minum fenomenal takut maling maling,positive
@NetaTris,@geloraco,"@geloraco @KejaksaanRI ternyata Termul, sesama Termul..? @Prabowo bubarin aja ga guna nangkep satu mahluk aja sudah enam tahun lebih ga mampu, masalah pidana yg sudah ingkrach tidak ada Kadaluarsa dan Tidak Bisa di PK-an, Buronan ini menjadi Musuh Negara dan @KejaksaanRI Punya Tim Buron..?",ternyata termul sesama termul bubarin saja enggak guna nangkep satu mahluk saja sudah enam tahun lebih enggak mampu masalah pidana yang sudah ingkrach tidak ada kadaluarsa dan tidak bisa di pakai an buronan ini menjadi musuh negara dan punya tim buron,termul termul bubarin nangkep mahluk enam pidana ingkrach kadaluarsa pakai an buron musuh negara tim buron,negative
@lilybunga10,@bachrum_achmadi,"@bachrum_achmadi @prabowo dari awal sudah bermasalah... proyeknya bermasalah... anggarannya bermasalah... pejabat2nya bermasalah... selama 10 tahun Indonesia penuh masalah...  solusinya satu, SEMBAKO dan buzzeRp.",dari awal sudah bermasalah proyeknya bermasalah anggarannya bermasalah pejabatnya bermasalah selama tahun indonesia penuh masalah solusinya satu sembako dan buzzerp,masalah proyek masalah anggar masalah jabat masalah indonesia penuh solusi sembako buzzerp,negative
@suaraAinunNisa,@NenkMonica,"@NenkMonica @grok kalau 20 Oktober 2025 @prabowo belum bisa memenjarakan silfester, berarti satu tahun ""NOL BESAR"" apa gunanya memberi makan seluruh anak bangsa agar bergizi, kalau makanan moral dan keteladanan tdk diberikan, @KejaksaanRI kumis besar, perut buncit, badan tinggi moralnya busuk",kalau oktober belum bisa memenjarakan silfester berarti satu tahun nol besar apa gunanya memberi makan seluruh anak bangsa agar bergizi kalau makanan moral dan keteladanan tidak diberikan kumis besar perut buncit badan tinggi moralnya busuk,oktober penjara silfester nol guna makan anak bangsa gizi makan moral teladan kumis perut buncit badan moral busuk,negative
@suaraAinunNisa,@kompascom,"@kompascom 9 hari lagi, satu tahun pemerintahan @prabowo tapi hukum di Indonesia tidak berubah, masih seperti kemarin buruk rupa ancur bau busuk dan beracun, @KejaksaanRI kumis tebal, perut buncit, badan tinggi bawa tongkat komando tapi  kalian semua penakut, sama kodok aja kalian kencing",hari lagi satu tahun pemerintahan tapi hukum di indonesia tidak berubah masih seperti kemarin buruk rupa hancur bau busuk dan beracun kumis tebal perut buncit badan tinggi bawa tongkat komando tapi kalian semua penakut sama kodok saja kalian kencing,pemerintah hukum indonesia ubah kemarin buruk rupa hancur bau busuk racun kumis tebal perut buncit badan bawa tongkat komando takut kodok kencing,negative
@mhmmd_albil37,@nikitimirzini,@nikitimirzini @ConversationIDN Kesejahteraan dan keamanan makin terasa selama satu tahun bareng Prabowo-Gibran,kesejahteraan dan keamanan makin terasa selama satu tahun bareng prabowo gibran,sejahtera aman bareng prabowo gibran,positive
@gevira_asqolani,@nikitimirzini,"@nikitimirzini @ConversationIDN Satu tahun memimpin, Prabowo-Gibran bikin rasa optimis tumbuh lagi di hati masyarakat",satu tahun memimpin prabowo gibran bikin rasa optimis tumbuh lagi di hati masyarakat,pimpin prabowo gibran bikin optimis tumbuh hati masyarakat,positive
@tarihoran_d10,@bersatukompak,@bersatukompak @ObiWan_Catnobi Kesejahteraan dan keamanan makin terasa selama satu tahun bareng Prabowo-Gibran,kesejahteraan dan keamanan makin terasa selama satu tahun bareng prabowo gibran,sejahtera aman bareng prabowo gibran,positive
@cheezygalore,@blackjakpersija,"@blackjakpersija @MafiaWasit Gak. Garudayaksa itu joinan Prabowo ama Dewa United, dari dua musim lalu PSKC udah dibeli Dewa. Musim lalu, Garudayaksa mulai masuk. Tahun ini, klubnya dipindahkan ke Bekasi, ada akademinya juga. Orang-orang yang ngurus juga ya orangnya Dewa, kok bisa ngaco mikir biar satu doang",enggak garudayaksa itu joinan prabowo sama dewa united dari dua musim lalu pskc sudah dibeli dewa musim lalu garudayaksa mulai masuk tahun ini klubnya dipindahkan ke bekasi ada akademinya juga orang orang yang mengurus juga ya orangnya dewa kok bisa mengaco mikir biar satu doang,garudayaksa joinan prabowo dewa united musim pskc beli dewa musim garudayaksa masuk klub pindah bekas akademi orang orang urus orang dewa aco mikir biar doang,negative
@GFansu,@ARSIPAJA,"@ARSIPAJA pencapaian satu tahun yang luar biasa, terus kita dukung program prabowo-gibran untuk terus dpt melanjutkan program2nya demi Indonesia Maju",pencapaian satu tahun yang luar biasa terus kita dukung program prabowo gibran untuk terus dapat melanjutkan programnya demi indonesia maju,capai dukung program prabowo gibran lanjut program indonesia maju,positive
@EkoApan,@Roebanie,"@Roebanie @abu_waras Iy jg c bikin report pemerintahan @prabowo @bang_dasco ,padahal ritme satu tahun ini bagus loh,efisiensi dll...ibarat kuda kuda pondasi kuat,....itu x sebab srimul ngendepin duit di BI tau bakal bom waktu",iya juga sih bikin report pemerintahan padahal ritme satu tahun ini bagus loh efisiensi dll ibarat kuda kuda pondasi kuat itu x sebab srimul ngendepin duit di bi tau bakal bom waktu,iya bikin report pemerintah ritme bagus loh efisiensi dll kuda kuda pondasi kuat x srimul ngendepin duit bi tau bom,negative
@DDwinnellLeedee,@ARSIPAJA,"@ARSIPAJA Luar biasa, satu tahun kepemimpinan presiden prabowo banyak membuka lapangan pekerjaan terutama program MBG",luar biasa satu tahun kepemimpinan presiden prabowo banyak membuka lapangan pekerjaan terutama program mbg,pimpin presiden prabowo buka lapang kerja program mbg,positive
@lili_tuti99,@RantaiPersatuan,"@RantaiPersatuan Kebersamaan adalah kunci, satu tahun Prabowo-Gibran bikin perubahan bisa dirasakan semua #1thnPrabowoGibran",kebersamaan adalah kunci satu tahun prabowo gibran bikin perubahan bisa dirasakan semua,sama kunci prabowo gibran bikin ubah rasa,positive
@tegar_anugrah03,@RantaiPersatuan,"@RantaiPersatuan Refleksi perjalanan, satu tahun Prabowo-Gibran jadi penguat harapan bangsa #1thnPrabowoGibran",refleksi perjalanan satu tahun prabowo gibran jadi penguat harapan bangsa,refleksi jalan prabowo gibran kuat harap bangsa,neutral
@arie_n78,@RantaiPersatuan,"@RantaiPersatuan Kerja bareng satu tahun bisa ubah arah bangsa, Prabowo-Gibran sudah membuktikan #1thnPrabowoGibran",kerja bareng satu tahun bisa ubah arah bangsa prabowo gibran sudah membuktikan,kerja bareng ubah arah bangsa prabowo gibran bukti,positive
@satria_fathan7,@RantaiPersatuan,"@RantaiPersatuan Kita semua bisa lega, satu tahun Prabowo-Gibran beri bukti nyata bukan janji #1thnPrabowoGibran",kita semua bisa lega satu tahun prabowo gibran beri bukti nyata bukan janji,lega prabowo gibran bukti nyata janji,positive
@chinatsu_nana2,@RantaiPersatuan,"@RantaiPersatuan Bukan sekadar cerita, satu tahun Prabowo-Gibran penuh aksi positif dan progres nyata #1thnPrabowoGibran",bukan sekadar cerita satu tahun prabowo gibran penuh aksi positif dan progres nyata,cerita prabowo gibran penuh aksi positif progres nyata,positive
@alifa_sakur,@RantaiPersatuan,"@RantaiPersatuan Satu tahun penuh harapan, Prabowo-Gibran tetap jaga amanah rakyat #1thnPrabowoGibran",satu tahun penuh harapan prabowo gibran tetap jaga amanah rakyat,penuh harap prabowo gibran jaga amanah rakyat,positive
@RonyRo1239,@abu_waras,"@abu_waras Jelang Satu Tahun Pemerintahan Prabowo, bagaimana menurut kelan :",jelang satu tahun pemerintahan prabowo bagaimana menurut kelan,jelang pemerintah prabowo kelan,neutral
@imosint,@RANOSINT,"@RANOSINT Wuih keren. Ya betul itu. Cuma satu yang nyala AIS, yang lain mati AIS. Ya kan niatnya maling.  @prabowo nih kekuatan asing. Diapain enaknya kekuatan asing ini? Dikejar? Ditangkap? Bosen Wo, wong udah puluhan tahun kayak gini…",wuih keren ya betul itu cuma satu yang nyala ais yang lain mati ais ya kan niatnya maling nih kekuatan asing diapakan enaknya kekuatan asing ini dikejar ditangkap bosan wo wong sudah puluhan tahun kayak begini,wuih keren nyala ais mati ais niat maling nih kuat asing apa enak kuat asing kejar tangkap bosan wo puluh kayak,negative
@botackbagus,@msaid_didu,"@msaid_didu WAJAR kalo PRABOWO minta agar Keluarga Trump memperbaiki bisnisnya di Indonesia. Liat tuh NIRWANA BALI yang dulu menjadi salah satu GOLF RESORT terbaik di dunia, dihancurkan begitu saja dgn alasan akan dibuat lebih bagus, sudah 10 tahun MANGKRAK. kami para member golf gak dibayar",wajar kalo prabowo meminta agar keluarga trump memperbaiki bisnisnya di indonesia lihat tuh nirwana bali yang dulu menjadi salah satu golf resort terbaik di dunia dihancurkan begitu saja dengan alasan akan dibuat lebih bagus sudah tahun mangkrak kami para member golf enggak dibayar,wajar kalo prabowo keluarga trump baik bisnis indonesia lihat nirwana bal salah golf resort baik dunia hancur alas bagus mangkrak member golf bayar,negative
@NatanegaraPrabu,@prabowo,"@prabowo @prabowo ini terjadi karena banyak kebijakan aneh, dan ngaco selama 10 tahun terakhir. Membuat pejabat menjadi gila, termasuk rakyat juga banyak yg jd gila. Ini hanya salah satu contoh saja Pa Presiden. Mohon segera perbaiki semua sistem yg amburadul ini. Terimksih",ini terjadi karena banyak kebijakan aneh dan mengaco selama tahun terakhir membuat pejabat menjadi gila termasuk rakyat juga banyak yang jadi gila ini hanya salah satu contoh saja apa presiden mohon segera perbaiki semua sistem yang amburadul ini terimksih,bijak aneh aco jabat gila rakyat gila salah contoh presiden mohon baik sistem amburadul terimksih,negative
@bintang_emon2,@Ramay4na,"@Ramay4na @prabowo Kepuasan masyarakat makin terasa selama satu tahun Prabowo Gibran, segalanya terasa semakin efektif",kepuasan masyarakat makin terasa selama satu tahun prabowo gibran segalanya terasa semakin efektif,puas masyarakat prabowo gibran efektif,positive
@deka_firmawan45,@nikitimirzini,@nikitimirzini @tvindonesiawkwk Warga ngerasa lebih diperhatikan setelah satu tahun Prabowo Gibran memimpin,warga merasa lebih diperhatikan setelah satu tahun prabowo gibran memimpin,warga perhati prabowo gibran pimpin,positive
@Ramadhanridho77,@Prakarsa99Willy,"@Prakarsa99Willy @prabowo @gibran_tweet kritik konstruktif terkait penciptaan lapangan kerja dan pemulihan ekonomi skala nasional juga perlu menjadi perhatian serius pemerintah. Satu tahun adalah waktu yang singkat untuk melihat dampak penuh dari semua kebijakan, namun masyarakat berhak untuk melihat progres nyata!",kritik konstruktif terkait penciptaan lapangan kerja dan pemulihan ekonomi skala nasional juga perlu menjadi perhatian serius pemerintah satu tahun adalah waktu yang singkat untuk melihat dampak penuh dari semua kebijakan namun masyarakat berhak untuk melihat progres nyata,kritik konstruktif kait cipta lapang kerja pulih ekonomi skala nasional perhati serius pemerintah singkat dampak penuh bijak masyarakat hak progres nyata,neutral
@kayla3775261579,@Nita_Cantik21,@Nita_Cantik21 Satu tahun kepemimpinan Prabowo membawa optimisme baru di tanah Papua. #1TahunPresidenPrabowo,satu tahun kepemimpinan prabowo membawa optimisme baru di tanah papua,pimpin prabowo bawa optimisme tanah papua,positive
@Dodysanjaya49,@Nita_Cantik21,"@Nita_Cantik21 Satu tahun Prabowo, Papua semakin maju, sejahtera, dan berdaya! #1TahunPresidenPrabowo",satu tahun prabowo papua semakin maju sejahtera dan berdaya,prabowo papua maju sejahtera daya,positive
@bohaytiwi,@Nita_Cantik21,@Nita_Cantik21 Satu tahun pemerintahan Presiden Prabowo menjadi tonggak semangat baru bagi Papua yang maju dan berdaulat. #1TahunPresidenPrabowo,satu tahun pemerintahan presiden prabowo menjadi tonggak semangat baru bagi papua yang maju dan berdaulat,pemerintah presiden prabowo tonggak semangat papua maju daulat,positive
@nisa_salsall,@nafla_shakum,"@nafla_shakum Hasil satu tahun Prabowo-Gibran berasa, ekonomi makin stabil, pangan cukup, semua program sosial nyampe ke masyarakat #1thnPrabowoGibran",hasil satu tahun prabowo gibran berasa ekonomi makin stabil pangan cukup semua program sosial sampai ke masyarakat,hasil prabowo gibran asa ekonomi stabil pangan program sosial masyarakat,positive
@yudhi_winarno,@aniesbaswedan,@aniesbaswedan @prabowo mas anis... mas anis...  lalu nilainya berapa dari 10-100 di satu tahun masa jabatan beliau saat ini ?,mas anis mas anis lalu nilainya berapa dari di satu tahun masa jabatan beliau saat ini,mas anis mas anis nilai jabat beliau,neutral
@Adennybroos,@jhonsitorus_19,@jhonsitorus_19 @jokowi Satu tahun hasil kerja Prabowo-Gibran. Prabowo : Ada hasilnya walaupun belum signifikan. Gibran : Zero hasilnya cuma jalan2 ngabisin anggaran 😅,satu tahun hasil kerja prabowo gibran prabowo ada hasilnya walaupun belum signifikan gibran zero hasilnya cuma jalan ngabisin anggaran,hasil kerja prabowo gibran prabowo hasil signifikan gibran zero hasil jalan ngabisin anggar,positive
@Amran2728394187,@sharpandshark,"@sharpandshark Usul, urun rembuk, sbg masukan, jika setelah satu tahun pemerintah pak Prabowo ada resafel kabinet mohon dipertimbangkan tokoh2 yg berintegritas seperti pak jonan, sudirman said, abraham samad, bu susi pujiastuti, dijadiin menteri utk kalaborasi bersama pak purbaya",usul urun rembuk sebagai masukan jika setelah satu tahun pemerintah pak prabowo ada resafel kabinet mohon dipertimbangkan tokoh yang berintegritas seperti pak jonan sudirman said abraham samad bu susi pujiastuti dijadikan menteri untuk kalaborasi bersama pak purbaya,usul urun rembuk masuk pemerintah prabowo resafel kabinet mohon timbang tokoh integritas jonan sudirman said abraham samad bu sus pujiastuti jadi menteri kalaborasi purbaya,neutral
@azmina_taletha,@janet_astuti,"@janet_astuti Satu tahun berjalan, anak Papua makin punya modal dengan beasiswa, pelatihan, dan dorongan usaha lewat kebijakan Prabowo",satu tahun berjalan anak papua makin punya modal dengan beasiswa pelatihan dan dorongan usaha lewat kebijakan prabowo,jalan anak papua modal beasiswa latih dorong usaha bijak prabowo,positive
@NovaNug34902417,@cakimiNOW,"@cakimiNOW @prabowo @nasaruddinumar Presiden selaku pemipin dapat mengokestasi para pembantunya dengan tepat, sehingga catatan pemerintahan dalam satu tahun ini dapat memuaskan publik.",presiden selaku pemipin dapat mengokestasi para pembantunya dengan tepat sehingga catatan pemerintahan dalam satu tahun ini dapat memuaskan publik,presiden pemipin mengokestasi bantu catat pemerintah muas publik,positive
@Yuli4na89,@raraasliw,"@raraasliw Satu tahun berjalan, publik mulai bisa menilai arah kebijakan kabinet Prabowo-Gibran. good job Bapak Zulkifli Hasan #MenkoBidangPangan",satu tahun berjalan publik mulai bisa menilai arah kebijakan kabinet prabowo gibran good job bapak zulkifli hasan,jalan publik nilai arah bijak kabinet prabowo gibran good job zulkifli hasan,positive
